,iso_code,country,year,co2_including_luc
0,LTU,Lithuania,2000,-2.596
1,LTU,Lithuania,2001,0.463
2,LTU,Lithuania,2002,-3.972
3,LTU,Lithuania,2003,1.774
4,LTU,Lithuania,2004,17.757
5,LTU,Lithuania,2005,8.585
6,LTU,Lithuania,2006,5.421
7,LTU,Lithuania,2007,7.03
8,LTU,Lithuania,2008,10.038
9,LTU,Lithuania,2009,12.347
10,LUX,Luxembourg,2000,8.783
11,LUX,Luxembourg,2001,9.244
12,LUX,Luxembourg,2002,10.02
13,LUX,Luxembourg,2003,10.459
14,LUX,Luxembourg,2004,11.829
15,LUX,Luxembourg,2005,12.088
16,LUX,Luxembourg,2006,11.92
17,LUX,Luxembourg,2007,11.391
18,LUX,Luxembourg,2008,11.184
19,LUX,Luxembourg,2009,10.639
